id,brand,gear,model,price,fuel,mileage,hp,type,geo,model_year
99447,Fiat,Manuell,TALENTO,239900,Diesel,560,125,Yrkesfordon,Oskarshamn,2016
99448,Volkswagen,Automat,CRAFTER,189900,Diesel,6 000,136,Yrkesfordon,Tomelilla,2008
99449,Volvo,Manuell,V50,70000,Diesel,15 000,136,Kombi,Karlstad,2008
99450,Jeep,Automat,CHEROKEE,249000,Diesel,2 950,199,SUV,,2016
99451,Nissan,Manuell,INTERSTAR,109900,Diesel,11 159,119,Yrkesfordon,,2010
99452,Mitsubishi,Manuell,COLT,39000,Bensin,19 100,95,Halvkombi,,2005
99453,Citroën,Manuell,C5,25000,Diesel,19 500,133,Kombi,,2004
99454,Citroën,Automat,C4,89900,Diesel,3 100,108,Halvkombi,,2010
99455,Audi,Manuell,A4,79900,Diesel,23 235,140,Sedan,,2007
99456,Ford,Manuell,FOCUS,38000,Diesel,14 500,136,Kombi,,2007
99457,Nissan,Manuell,QASHQAI,119500,Diesel,8 300,110,SUV,,2012
99458,Jaguar,Automat,S-TYPE,44900,Bensin,26 100,199,Sedan,Eslöv,2005
99459,Volkswagen,Manuell,PASSAT,89000,Bensin,18 666,160,Kombi,,2010
99460,Peugeot,Automat,407,32900,Diesel,18 650,136,Kombi,,2007
99461,BMW,Automat,X5,169900,Diesel,15 900,235,SUV,,2008
99462,Opel,Manuell,Frontera,21000,Diesel,19 500 - 19 999,115,-,"Göteborg, Östra Centrum",2000
99463,Mitsubishi,Manuell,LANCER,14500,Bensin,15 000 - 15 499,97,Kombi,Säffle,2006
99464,Saab,Manuell,9-5,12500,Miljöbränsle/Hybrid,27 000 - 27 499,149,Halvkombi,Norrköping,2005
99465,Volkswagen,Manuell,CC,121000,Diesel,20 500 - 20 999,140,Familjebuss,Norrtälje,2011
99466,Volvo,Manuell,V50,85000,Diesel,12 000 - 12 499,114,Kombi,Laholm,2012
99467,Saab,Manuell,9-5,7500,Bensin,25 500 - 25 999,229,Kombi,Eskilstuna,2000
99468,Saab,Manuell,9-5,3000,Bensin,21 000 - 21 499,149,Kombi,Sigtuna,2002
99469,Saab,Automat,9-3,24000,Bensin,25 500 - 25 999,175,Kombi,Svalöv,2006
99470,Volkswagen,Automat,BEETLE,127500,Bensin,10 200,199,Halvkombi,,2012
99471,Peugeot,Manuell,EXPERT,45000,Diesel,16 500 - 16 999,136,Yrkesfordon,Kungälv,2009
99472,Opel,Manuell,Agila,5000,Bensin,17 000 - 17 499,58,Småbil,Kungälv,2002
99473,Audi,Manuell,A3,8000,Bensin,20 000 - 20 499,100,-,Eslöv,2000
99474,Mercedes-Benz,Automat,CLK320,12000,Bensin,27 500 - 27 999,217,Coupé,Kalix,2000
99475,Volkswagen,Manuell,VW 2EKE2,350000,Diesel,24 000 - 24 499,163,Yrkesfordon,Skellefteå,2011
99476,Volkswagen,Manuell,GOL,39999,Bensin,13 000 - 13 499,170,Halvkombi,"Göteborg, Innerstaden",2003
99477,Mercedes-Benz,Automat,E240,24000,Bensin,21 500 - 21 999,170,Sedan,Södertälje,2001
99478,Mercedes-Benz,Automat,E240,25000,Bensin,14 000 - 14 499,170,Sedan,Älvsjö-Farsta-Vantör,2000
99479,Volvo,Automat,V70,17500,Bensin,18 500 - 18 999,140,Kombi,Kristianstad,2001
99480,Mercedes-Benz,Manuell,C200,104000,Diesel,11 000 - 11 499,136,Sedan,Kungsholmen,2009
99481,Audi,Manuell,A3,97000,Diesel,11 500 - 11 999,140,Halvkombi,"Malmö, Centralt Söder",2010
99482,Opel,Manuell,Meriva,19000,Diesel,22 000 - 22 499,100,Familjebuss,Boden,2007
99483,Audi,Manuell,A4,90000,Bensin,19 500 - 19 999,179,Kombi,Härryda,2011
99484,Skoda,Manuell,Octavia,4000,Bensin,27 500 - 27 999,100,Sedan,Vilhelmina,2000
99485,Audi,Manuell,A6,189000,Diesel,8 500 - 8 999,176,Kombi,Linköping,2013
99486,Audi,Automat,A5,399000,Bensin,150,251,Halvkombi,Linköping,2018
99487,Nissan,Automat,QASHQAI,209900,Bensin,3 500,115,SUV,Haninge,2017
99488,Nissan,Automat,X-TRAIL,239900,Diesel,3 800,130,SUV,Haninge,2017
99489,Chevrolet,Automat,CAMARO,459000,Bensin,0,452,Coupé,,2018
99490,Opel,Manuell,Crossland X,169900,Bensin,1,81,SUV,,2018
99491,Mercedes-Benz,Automat,E240,17000,Bensin,20 000 - 20 499,170,Sedan,Älvsjö-Farsta-Vantör,2001
